publico,gamma,ic95_inf,ic95_sup,acrescimo_percentual,n_partidas
sem,0.051078926087413525,-0.0657766783617173,0.16793453053654436,0.052405952289584556,419
total,0.2137099347314457,0.1753333124739912,0.2520865569889002,0.2382634254829441,3708
