teste,n,estimativa,ic95_inf,ic95_sup,estatistica,p_valor,tamanho_efeito,medida_efeito,significativo
Binomial — vitórias do mandante entre jogos decididos,3190,0.5808777429467085,0.5635308792446447,0.5980761377981817,1853.0,3.1805898890010186e-20,1.3859386686611816,razão de chances casa/fora,True
Qui-quadrado — simetria casa/fora dada a taxa de empates,4180,0.12344497607655502,,,83.46583072100313,6.482685257873558e-20,,,True
Teste t pareado — pontos do mandante menos pontos do visitante,4180,0.3703349282296651,0.2916509493462481,0.44901890711308207,9.227461775852964,2.1469983179574136e-20,0.14272304865851135,d de Cohen (pareado),True
Diferencial casa-fora: Big Six vs demais clubes,28,0.05143480257116617,-0.06884900194320771,0.17171860708554004,0.991349884762396,0.3514057955798624,0.4654275795327055,d de Cohen,False
Vantagem do mandante em 19/20: com público vs sem público,380,-0.019021739130434756,-0.6374479234816648,0.5994044452207954,-0.06077423390557207,0.9516197036258512,-0.00737045056360712,d de Cohen,False
