modelo,Season,log_loss,brier,acuracia,n
frequencia_base,1819,1.0444133062732688,0.6305402281481652,0.4763157894736842,380
sempre_casa,1819,1.056155355800645,0.6368504467747103,0.4763157894736842,380
dixon_coles,1819,0.8992762299251701,0.5264288248504704,0.5868421052631579,380
regressao_logistica,1819,0.9056287001877908,0.5276412681390026,0.5789473684210527,380
gradient_boosting,1819,1.0655568268022588,0.5937117352716278,0.5394736842105263,380
frequencia_base,1920,1.0650027702158278,0.6437109620419741,0.45263157894736844,380
sempre_casa,1920,1.0683707169821655,0.6455500216761865,0.45263157894736844,380
dixon_coles,1920,0.9763138763427701,0.5794129896187762,0.5394736842105263,380
regressao_logistica,1920,1.051430860283136,0.6008227359199331,0.5105263157894737,380
gradient_boosting,1920,1.132051732821812,0.6445359291851585,0.4631578947368421,380
frequencia_base,2021,1.0856072496483349,0.6605957985578849,0.37894736842105264,380
sempre_casa,2021,1.1048436947983784,0.6714771261798796,0.37894736842105264,380
dixon_coles,2021,1.0206873907690022,0.6066761305842675,0.5157894736842106,380
regressao_logistica,2021,1.042849231439146,0.6174520822655004,0.5157894736842106,380
gradient_boosting,2021,1.1717731833861496,0.6747097156547094,0.48157894736842105,380
frequencia_base,2122,1.0698371021172517,0.6480014039812243,0.42894736842105263,380
sempre_casa,2122,1.0795270259133978,0.6534618453979139,0.42894736842105263,380
dixon_coles,2122,0.9615027285453945,0.5697019189703726,0.5631578947368421,380
regressao_logistica,2122,0.9602818784564782,0.5688804390130541,0.55,380
gradient_boosting,2122,1.0321790292226198,0.5981129576198603,0.5342105263157895,380
frequencia_base,2223,1.0508998285146842,0.6338155759718388,0.4842105263157895,380
sempre_casa,2223,1.0534447930560495,0.6349606307455145,0.4842105263157895,380
dixon_coles,2223,1.0042134993815919,0.594825802739322,0.5289473684210526,380
regressao_logistica,2223,0.9762561476521087,0.5812701737807537,0.5421052631578948,380
gradient_boosting,2223,1.0940152280980586,0.6376184747397734,0.49473684210526314,380
frequencia_base,2324,1.0543102100294373,0.6372678113516219,0.4605263157894737,380
sempre_casa,2324,1.0643709544401776,0.6427031867292422,0.4605263157894737,380
dixon_coles,2324,0.9293138500753477,0.5469390703042276,0.5684210526315789,380
regressao_logistica,2324,0.9373654261935102,0.5528713976543906,0.5894736842105263,380
gradient_boosting,2324,1.0051946063612245,0.5832971338190391,0.5342105263157895,380
frequencia_base,2425,1.0811279365582513,0.6557273168727176,0.40789473684210525,380
sempre_casa,2425,1.0898409252750987,0.6607903364269584,0.40789473684210525,380
dixon_coles,2425,0.9792251391402248,0.5855698714020546,0.5184210526315789,380
regressao_logistica,2425,0.9970660262761899,0.5971731456950008,0.5184210526315789,380
gradient_boosting,2425,1.0563728786209874,0.6271536994025427,0.531578947368421,380
frequencia_base,2526,1.08361910614781,0.655753812394284,0.4263157894736842,380
sempre_casa,2526,1.0806511901877447,0.6542557357387405,0.4263157894736842,380
dixon_coles,2526,1.039117980099147,0.6184856303651811,0.46578947368421053,380
regressao_logistica,2526,1.0332608798812108,0.6212590274349851,0.4842105263157895,380
gradient_boosting,2526,1.0883054832091552,0.646312300075515,0.47368421052631576,380
