time,jogos_casa,jogos_fora,pontos_casa,pontos_fora,saldo_casa,saldo_fora,chutes_alvo_casa,chutes_alvo_fora,escanteios_casa,escanteios_fora,dif_pontos,dif_saldo,ganho_relativo,n_temporadas,amostra_suficiente,big_six
Hull,19,19,1.4736842105263157,0.3157894736842105,-0.3684210526315789,-1.894736842105263,3.6315789473684212,3.0526315789473686,3.8421052631578947,5.578947368421052,1.1578947368421053,1.526315789473684,0.43137254901960786,1,False,False
Swansea,57,57,1.368421052631579,0.7543859649122807,-0.24561403508771928,-0.8596491228070176,3.754385964912281,3.017543859649123,5.105263157894737,3.824561403508772,0.6140350877192983,0.6140350877192983,0.2734375,3,True,False
Arsenal,209,209,2.200956937799043,1.61244019138756,1.167464114832536,0.41148325358851673,5.770334928229665,4.368421052631579,6.755980861244019,5.133971291866029,0.5885167464114831,0.7559808612440193,0.42413793103448266,11,True,True
Newcastle,190,190,1.6263157894736842,1.0578947368421052,0.4052631578947368,-0.46842105263157896,4.794736842105263,3.7578947368421054,5.421052631578948,4.526315789473684,0.5684210526315789,0.8736842105263158,0.2926829268292683,10,True,False
Liverpool,209,209,2.2966507177033493,1.8229665071770336,1.4545454545454546,0.631578947368421,6.54066985645933,5.392344497607655,7.162679425837321,6.253588516746412,0.4736842105263157,0.8229665071770336,0.40243902439024387,11,True,True
Sheffield United,57,57,1.0350877192982457,0.5964912280701754,-0.7719298245614035,-1.1929824561403508,3.526315789473684,2.491228070175439,5.298245614035087,3.912280701754386,0.4385964912280703,0.42105263157894735,0.18248175182481757,3,True,False
Sunderland,57,57,1.2456140350877194,0.8070175438596491,-0.17543859649122806,-0.8771929824561403,3.56140350877193,3.280701754385965,4.5964912280701755,3.491228070175439,0.4385964912280703,0.7017543859649122,0.20000000000000004,3,True,False
Aston Villa,152,152,1.5723684210526316,1.138157894736842,0.19078947368421054,-0.4144736842105263,4.697368421052632,3.7960526315789473,5.703947368421052,4.868421052631579,0.4342105263157896,0.6052631578947368,0.23321554770318026,8,True,False
Man United,209,209,1.9521531100478469,1.5311004784688995,0.722488038277512,0.10047846889952153,5.698564593301436,4.688995215311005,6.033492822966507,4.818181818181818,0.42105263157894735,0.6220095693779905,0.2866449511400651,11,True,True
Middlesbrough,19,19,0.9473684210526315,0.5263157894736842,-0.3157894736842105,-1.0526315789473684,3.1052631578947367,2.1578947368421053,4.894736842105263,2.526315789473684,0.42105263157894735,0.7368421052631579,0.17021276595744678,1,False,False
Tottenham,209,209,1.8851674641148326,1.4688995215311005,0.7990430622009569,0.33014354066985646,5.784688995215311,4.722488038277512,6.430622009569378,5.143540669856459,0.4162679425837321,0.4688995215311004,0.27187500000000003,11,True,True
Brentford,95,95,1.5368421052631578,1.1263157894736842,0.3157894736842105,-0.24210526315789474,4.673684210526316,3.9473684210526314,4.778947368421052,4.315789473684211,0.41052631578947363,0.5578947368421052,0.21910112359550557,5,True,False
Everton,209,209,1.492822966507177,1.0861244019138756,0.20095693779904306,-0.48325358851674644,4.497607655502392,3.674641148325359,5.339712918660287,4.177033492822966,0.40669856459330145,0.6842105263157895,0.2125,11,True,False
Norwich,57,57,0.8771929824561403,0.47368421052631576,-0.9298245614035088,-1.4912280701754386,3.5789473684210527,2.8421052631578947,5.245614035087719,3.789473684210526,0.40350877192982454,0.5614035087719298,0.1597222222222222,3,True,False
