time,periodo,estadio,jogos_casa,pontos_casa,pontos_fora,dif_pontos,gols_casa,chutes_alvo_casa,hst_comparavel
West Ham,antes,Boleyn Ground (Upton Park),114,1.4736842105263157,0.8260869565217391,0.6475972540045766,1.5087719298245614,,False
West Ham,depois,London Stadium,190,1.4210526315789473,1.0740740740740742,0.34697855750487316,1.4578947368421054,,True
Tottenham,antes,White Hart Lane / Wembley,185,2.1027027027027025,1.6542553191489362,0.44844738355376634,1.8702702702702703,,False
Tottenham,depois,Tottenham Hotspur Stadium,138,1.6956521739130435,1.2814814814814814,0.414170692431562,1.8115942028985508,,True
