recorte,gamma_com_publico,delta_sem_publico,ic95_inf,ic95_sup,p_valor,n_sem_publico,n_com_publico
2019/20 (intratemporada),0.22132253841533342,0.04015292106300998,-0.1504619388413962,0.23076778096741613,0.6797052369857928,92,288
recorte completo (19/20 + 20/21),0.2093933143595503,-0.12250293208703257,-0.20949915032326372,-0.03550671385080141,0.005781809631634478,419,3708
