Season,pontos_casa,pontos_fora,dif_pontos,gols_pro_casa,gols_pro_fora,dif_gols_pro,chutes_casa,chutes_fora,dif_chutes,chutes_alvo_casa,chutes_alvo_fora,dif_chutes_alvo,escanteios_casa,escanteios_fora,dif_escanteios,faltas_casa,faltas_fora,dif_faltas,amarelos_casa,amarelos_fora,dif_amarelos,dif_pontos_mm3
1516,1.5210526315789474,1.1973684210526316,0.3236842105263158,1.4921052631578948,1.2078947368421054,0.28421052631578947,14.339473684210526,11.368421052631579,2.9710526315789476,4.628947368421053,3.8815789473684212,0.7473684210526317,5.947368421052632,4.886842105263158,1.060526315789474,10.057894736842105,11.463157894736842,-1.405263157894737,1.4473684210526316,1.6552631578947368,-0.20789473684210513,
1617,1.6973684210526316,1.081578947368421,0.6157894736842107,1.5973684210526315,1.2026315789473685,0.39473684210526305,14.013157894736842,11.48421052631579,2.5289473684210524,4.813157894736842,3.8552631578947367,0.9578947368421056,5.678947368421053,4.734210526315789,0.9447368421052635,11.063157894736841,11.657894736842104,-0.594736842105263,1.7447368421052631,1.8868421052631579,-0.14210526315789473,
1718,1.6263157894736842,1.1131578947368421,0.513157894736842,1.5315789473684212,1.1473684210526316,0.38421052631578956,13.589473684210526,10.857894736842105,2.731578947368421,4.628947368421053,3.7657894736842104,0.8631578947368426,5.744736842105263,4.5473684210526315,1.1973684210526319,10.218421052631578,10.48421052631579,-0.2657894736842117,1.4789473684210526,1.5657894736842106,-0.08684210526315805,0.4842105263157895
1819,1.6157894736842104,1.1973684210526316,0.4184210526315788,1.568421052631579,1.2526315789473683,0.3157894736842106,14.134210526315789,11.144736842105264,2.989473684210525,4.778947368421052,3.9289473684210527,0.8499999999999996,5.705263157894737,4.552631578947368,1.1526315789473687,10.152631578947368,10.305263157894737,-0.15263157894736956,1.5263157894736843,1.6842105263157894,-0.1578947368421051,0.5157894736842105
1920,1.6,1.1578947368421053,0.4421052631578948,1.5157894736842106,1.2052631578947368,0.31052631578947376,13.323684210526316,11.4,1.923684210526316,4.5552631578947365,3.9947368421052634,0.5605263157894731,5.773684210526316,4.931578947368421,0.8421052631578947,10.48421052631579,10.98157894736842,-0.4973684210526308,1.5868421052631578,1.7657894736842106,-0.17894736842105274,0.4578947368421052
2021,1.355263157894737,1.4263157894736842,-0.07105263157894726,1.3526315789473684,1.3421052631578947,0.010526315789473717,12.81578947368421,11.363157894736842,1.4526315789473685,4.544736842105263,4.08421052631579,0.46052631578947345,5.557894736842106,4.631578947368421,0.9263157894736844,11.223684210526315,10.55,0.6736842105263143,1.4236842105263159,1.4473684210526316,-0.023684210526315752,0.2631578947368421
2122,1.518421052631579,1.25,0.2684210526315789,1.513157894736842,1.305263157894737,0.20789473684210513,13.847368421052632,11.736842105263158,2.1105263157894747,4.678947368421053,4.1421052631578945,0.5368421052631582,5.602631578947369,4.821052631578947,0.7815789473684216,10.055263157894737,10.157894736842104,-0.10263157894736707,1.6526315789473685,1.7447368421052631,-0.09210526315789469,0.21315789473684213
2223,1.681578947368421,1.0894736842105264,0.5921052631578947,1.6342105263157896,1.2184210526315788,0.4157894736842107,13.952631578947368,11.310526315789474,2.6421052631578945,4.907894736842105,3.8947368421052633,1.013157894736842,5.636842105263158,4.471052631578948,1.1657894736842103,10.597368421052632,10.93157894736842,-0.33421052631578796,1.6710526315789473,1.9157894736842105,-0.24473684210526314,0.2631578947368421
2324,1.5973684210526315,1.186842105263158,0.41052631578947363,1.8,1.4789473684210526,0.3210526315789475,15.402631578947368,12.18157894736842,3.2210526315789476,5.436842105263158,4.431578947368421,1.0052631578947366,6.123684210526315,4.713157894736842,1.4105263157894736,10.744736842105263,11.347368421052632,-0.6026315789473689,1.9105263157894736,2.263157894736842,-0.3526315789473684,0.4236842105263157
2425,1.4684210526315788,1.2868421052631578,0.18157894736842106,1.513157894736842,1.4210526315789473,0.09210526315789469,13.75263157894737,12.16578947368421,1.586842105263159,4.83421052631579,4.265789473684211,0.5684210526315789,5.426315789473684,4.871052631578947,0.5552631578947373,10.789473684210526,11.276315789473685,-0.4868421052631593,1.9052631578947368,2.1447368421052633,-0.2394736842105265,0.3947368421052631
2526,1.5526315789473684,1.1736842105263159,0.3789473684210525,1.5263157894736843,1.2236842105263157,0.3026315789473686,13.839473684210526,11.157894736842104,2.681578947368422,4.502631578947368,3.8710526315789475,0.6315789473684208,5.394736842105263,4.602631578947369,0.792105263157894,10.652631578947368,10.989473684210527,-0.33684210526315894,1.6657894736842105,2.081578947368421,-0.4157894736842105,0.32368421052631574
