modelo,faixa_inferior,faixa_superior,prob_prevista,freq_observada,n
dixon_coles,0.0,0.1,0.06400029569138183,0.07608695652173914,92
dixon_coles,0.1,0.2,0.1550114588707594,0.1853035143769968,313
dixon_coles,0.2,0.30000000000000004,0.25221109786083706,0.2683982683982684,462
dixon_coles,0.30000000000000004,0.4,0.35092505312850586,0.39344262295081966,549
dixon_coles,0.4,0.5,0.4496296115385936,0.42857142857142855,553
dixon_coles,0.5,0.6000000000000001,0.5482930154731215,0.5498783454987834,411
dixon_coles,0.6000000000000001,0.7000000000000001,0.649895877639886,0.6407185628742516,334
dixon_coles,0.7000000000000001,0.8,0.7448565485324681,0.7106598984771574,197
dixon_coles,0.8,0.9,0.8431164588204761,0.8725490196078431,102
dixon_coles,0.9,1.0,0.9309526678003235,0.9259259259259259,27
regressao_logistica,0.0,0.1,0.06924617333238332,0.10810810810810811,74
regressao_logistica,0.1,0.2,0.15287762542376057,0.12345679012345678,243
regressao_logistica,0.2,0.30000000000000004,0.2534606047755824,0.2601010101010101,396
regressao_logistica,0.30000000000000004,0.4,0.3518218888641845,0.33396584440227706,527
regressao_logistica,0.4,0.5,0.4499361881867033,0.42528735632183906,522
regressao_logistica,0.5,0.6000000000000001,0.548693551614093,0.5448717948717948,468
regressao_logistica,0.6000000000000001,0.7000000000000001,0.6488260601439124,0.5952380952380952,336
regressao_logistica,0.7000000000000001,0.8,0.7453882511026612,0.6699346405228758,306
regressao_logistica,0.8,0.9,0.8408710492260618,0.7986111111111112,144
regressao_logistica,0.9,1.0,0.922232581891144,0.9166666666666666,24
frequencia_base,0.4,0.5,0.4487436550937981,0.4394736842105263,3040
sempre_casa,0.4,0.5,0.4487436550937981,0.4394736842105263,3040
gradient_boosting,0.0,0.1,0.058220772705348305,0.1596244131455399,213
gradient_boosting,0.1,0.2,0.15087190733818678,0.22818791946308725,298
gradient_boosting,0.2,0.30000000000000004,0.25297648209877105,0.29526462395543174,359
gradient_boosting,0.30000000000000004,0.4,0.3520408862474437,0.40240963855421685,415
gradient_boosting,0.4,0.5,0.45074912358907177,0.4306569343065693,411
gradient_boosting,0.5,0.6000000000000001,0.5475980983750672,0.48009950248756217,402
gradient_boosting,0.6000000000000001,0.7000000000000001,0.6470353091897781,0.5230263157894737,304
gradient_boosting,0.7000000000000001,0.8,0.7484600921705176,0.5813008130081301,246
gradient_boosting,0.8,0.9,0.8504965129307797,0.6820276497695853,217
gradient_boosting,0.9,1.0,0.9438080009085503,0.8057142857142857,175
