cenario,jogos,pontos_casa,pontos_fora,dif_pontos,dif_gols,dif_amarelos
2019/20 (sem público),92,1.6195652173913044,1.1630434782608696,0.4565217391304348,0.3695652173913042,0.032608695652173836
2019/20 (com público),288,1.59375,1.15625,0.4375,0.29166666666666674,-0.24652777777777768
demais temporadas (com público),3420,1.5865497076023392,1.1751461988304093,0.4114035087719299,0.302046783625731,-0.21549707602339185
2020/21 (público limitado),53,1.509433962264151,1.2830188679245282,0.2264150943396228,0.13207547169811318,-0.3773584905660379
2020/21 (sem público),327,1.3302752293577982,1.4495412844036697,-0.11926605504587151,-0.00917431192660545,0.033639143730886945
