Season,gamma,ic95_inf,ic95_sup,acrescimo_percentual,rho,n_partidas
1516,0.21073080375319223,0.08802855203803625,0.3334330554683482,0.23457996603122222,-0.06285144083719474,380
1617,0.285972421376955,0.16470100735122856,0.40724383540268144,0.33105574606142696,-0.06561331955032375,380
1718,0.2944413990681379,0.17072970309763538,0.4181530950386404,0.34237629656291024,-0.12851838717205982,380
1819,0.22458247595711722,0.10424807591049012,0.3449168760037443,0.2517999504896251,-0.04102488492468942,380
1920,0.23111130780118733,0.10861318624402018,0.3536094293583545,0.2599994794157363,-0.0785754715803979,380
2021,0.0070830632491007545,-0.11519325370789794,0.12935938020609944,0.007108207472580341,-0.045317011340484735,380
2122,0.14790855099782554,0.02772619396088677,0.2680909080347643,0.1594068649139022,-0.0037116446019346367,380
2223,0.29133328428399313,0.17066649497767028,0.412000073590316,0.33821051416818726,0.059500029470579176,380
2324,0.19666322679907144,0.08509923792611146,0.30822721567203143,0.21733400619560084,-0.02006766483741567,380
2425,0.06270588507605676,-0.05465824837717538,0.1800700185292889,0.06471364500329346,-0.03367209727649767,380
2526,0.21445834907064382,0.0931342762614106,0.33578242187987706,0.23919050646335638,-0.16208791090051122,380
