mando,gols,chutes_alvo,taxa_conversao,ic95_inf,ic95_sup
casa,6477,19878,0.32583760941744644,0.3193480229399336,0.33227688902304053
fora,5322,16764,0.3174659985683608,0.31042710570269627,0.3243855881651157
